Cash Flow,,,,
Company,ALAB (NASDAQ),,,
Currency,USD,,,
Period,FY,,,
Date,2025-12-31 00:00:00,2024-12-31 00:00:00,2023-12-31 00:00:00,2022-12-31 00:00:00
,,,,
Net Income,219134000,-83421000,-26257000,-58345000
Depreciation And Amortization,6829000,3154000,1781000,807000
Deferred Income Tax,0,0,0,0
Stock Based Compensation,160033000,234588000,10679000,30235000
Change In Working Capital,-65964000,-13295000,-9675000,-9971000
Accounts Receivables,-44343000,-30480000,2386000,-6037000
Inventory,-12950000,-19287000,-5564000,-19358000
Accounts Payables,14194000,20887000,-4264000,2126000
Other Working Capital,-22865000,15585000,-2233000,13298000
Other Non Cash Items,-726000,-4350000,10756000,1376000
Net Cash Provided By Operating Activities,319306000,136676000,-12716000,-35898000
,,,,
Investments In Property Plant And Equipment,-37544000,-34245000,-2761000,-3873000
Acquisitions Net,-28786000,0,0,0
Purchases Of Investments,-857753000,-930575000,-126225000,-88713000
Sales Maturities Of Investments,683114000,208665000,111214000,1996000
Other Investing Activities,-500000,-1413000,0,0
Net Cash Used For Investing Activities,-241469000,-757568000,-17772000,-90590000
,,,,
Debt Repayment,0,0,0,0
Common Stock Issued,9803000,672198000,0,0
Common Stock Repurchased,0,-1066000,-210000,-313000
Dividends Paid,0,0,0,0
Other Financing Activities,0,-15294000,-292000,151981000
Net Cash Used Provided By Financing Activities,9803000,655838000,-502000,151668000
,,,,
Effect Of Forex Changes On Cash,0,0,0,0
Net Change In Cash,87640000,34946000,-30990000,25180000
Cash At End Of Period,167684000,80044000,45098000,76088000
Cash At Beginning Of Period,80044000,45098000,76088000,50908000
Operating Cash Flow,319306000,136676000,-12716000,-35898000
Capital Expenditure,-37544000,-34245000,-2761000,-3873000
Free Cash Flow,281762000,102431000,-15477000,-39771000
