Cash Flow,,,,,,,,,,,,,
Company,ALAB (NASDAQ),,,,,,,,,,,,
Currency,USD,,,,,,,,,,,,
Period,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1,Q4,Q3,Q2,Q1
Date,2026-03-31 00:00:00,2025-12-31 00:00:00,2025-09-30 00:00:00,2025-06-30 00:00:00,2025-03-31 00:00:00,2024-12-31 00:00:00,2024-09-30 00:00:00,2024-06-30 00:00:00,2024-03-31 00:00:00,2023-12-31 00:00:00,2023-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00
,,,,,,,,,,,,,
Net Income,80310000,44982000,91114000,51219000,31819000,24713000,-7593000,-7546000,-92995000,14325000,-3124000,-20004000,-17454000
Depreciation And Amortization,3710000,2846000,1466000,1392000,1125000,974000,849000,700000,614000,540000,478000,406000,357000
Deferred Income Tax,0,0,0,0,0,0,0,0,0,0,0,0,0
Stock Based Compensation,48913000,41374000,40739000,35474000,42446000,48218000,45535000,43067000,97768000,3299000,2711000,2672000,1997000
Change In Working Capital,-59094000,7048000,-55504000,44881000,-62389000,-31136000,27406000,-7336000,-2229000,-4064000,-1100000,-6198000,1687000
Accounts Receivables,-51789000,-40254000,-18580000,45459000,-30968000,-13426000,-3156000,-5476000,-8422000,8880000,-15575000,2033000,7048000
Inventory,346000,-5844000,7471000,-7790000,-6787000,-18016000,4699000,-70000,-5900000,-6161000,-777000,916000,458000
Accounts Payables,-699000,15282000,-5695000,2381000,2226000,9164000,5892000,858000,4973000,-3601000,7082000,-2005000,-5740000
Other Working Capital,-6952000,37864000,-38700000,4831000,-26860000,-8858000,19971000,-2648000,7120000,-3182000,8170000,-7142000,-79000
Other Non Cash Items,759000,-985000,356000,2400000,-2497000,-3066000,-2689000,928000,494000,299000,701000,162000,9594000
Net Cash Provided By Operating Activities,74598000,95265000,78171000,135366000,10504000,39703000,63508000,29813000,3652000,14399000,-334000,-22962000,-3819000
,,,,,,,,,,,,,
Investments In Property Plant And Equipment,-7586000,-18689000,-12293000,-2023000,-4539000,-15448000,-16697000,1324000,-3424000,-1011000,-736000,-575000,-439000
Acquisitions Net,-65049000,-28786000,0,0,0,0,0,0,0,0,0,0,0
Purchases Of Investments,-156628000,-193321000,-259750000,-213861000,-190821000,-205654000,-379165000,-322448000,-23308000,-23389000,-75562000,-4928000,-22346000
Sales Maturities Of Investments,137756000,168005000,171498000,152191000,191420000,131088000,36443000,18653000,22481000,18436000,20029000,14667000,58082000
Other Investing Activities,-2500000,0,-500000,0,0,-1413000,0,0,0,0,0,0,0
Net Cash Used For Investing Activities,-94007000,-72791000,-101045000,-63693000,-3940000,-91427000,-359419000,-302471000,-4251000,-5964000,-56269000,9164000,35297000
,,,,,,,,,,,,,
Debt Repayment,0,0,0,0,0,0,0,0,0,0,0,0,0
Common Stock Issued,82000,8073000,5297000,392000,386000,0,952000,-2343000,672198000,0,0,0,0
Common Stock Repurchased,0,0,0,0,0,-1066000,0,0,0,-210000,0,-118000,0
Dividends Paid,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Financing Activities,0,-4345000,-4345000,4345000,0,6717000,0,0,-20620000,-849000,644000,0,31000
Net Cash Used Provided By Financing Activities,82000,3728000,952000,4737000,386000,5651000,952000,-2343000,651578000,-1059000,644000,-118000,31000
,,,,,,,,,,,,,
Effect Of Forex Changes On Cash,1000,-73000,0,0,0,0,0,0,0,0,0,0,0
Net Change In Cash,-19326000,26129000,-21922000,76410000,6950000,-46073000,-294959000,-275001000,650979000,7376000,-55959000,-13916000,31509000
Cash At End Of Period,148285000,167611000,141482000,163404000,86994000,80044000,126117000,421076000,696077000,45098000,37722000,93681000,107597000
Cash At Beginning Of Period,167611000,141482000,163404000,86994000,80044000,126117000,421076000,696077000,45098000,37722000,93681000,107597000,76088000
Operating Cash Flow,74598000,95265000,78171000,135366000,10504000,39703000,63508000,29813000,3652000,14399000,-334000,-22962000,-3819000
Capital Expenditure,-7586000,-18689000,-12293000,-2023000,-4539000,-15448000,-16697000,1324000,-3424000,-1011000,-736000,-575000,-439000
Free Cash Flow,67012000,76576000,65878000,133343000,5965000,24255000,46811000,31137000,228000,13388000,-1070000,-23537000,-4258000
