Income Statement,,,,
Company,ALAB (NASDAQ),,,
Currency,USD,,,
Period,FY,,,
Date,2025-12-31 00:00:00,2024-12-31 00:00:00,2023-12-31 00:00:00,2022-12-31 00:00:00
,,,,
Revenue,852525000,396290000,115794000,79872000
,,,,
Cost Of Revenue,207264000,93591000,35967000,21191000
Gross Profit,645261000,302699000,79827000,58681000
Gross Profit Ratio,0.7568822029,0.7638320422,0.6893880512,0.7346880008
,,,,
Research And Development Expenses,303998000,200830000,73407000,73711000
Selling General And Administrative Expenses,167840000,217935000,35917000,45164000
    General And Administrative Expenses,88066000,94283000,15925000,20757000
    Selling And Marketing Expenses,79774000,123652000,19992000,24407000
Other Expenses,0,0,0,0
Operating Expenses,471838000,418765000,109324000,118875000
,,,,
Cost And Expenses,679102000,512356000,145291000,140066000
Ebitda,224982000,-78624000,-21167000,-56774000
Ebitdaratio,0.2639007654,-0.1984001615,-0.1827987633,-0.7108122997
Interest Expense,0,0,0,0
Depreciation And Amortization,6829000,3154000,1781000,807000
Operating Income,173423000,-116066000,-29497000,-60194000
Operating Income Ratio,0.2034227735,-0.2928814757,-0.2547368603,-0.7536308093
,,,,
Total Other Income Expenses Net,44730000,34288000,6549000,2613000
Income Before Tax,218153000,-81778000,-22948000,-57581000
Income Before Tax Ratio,0.2558904431,-0.2063589795,-0.1981795257,-0.7209159655
Income Tax Expense,-981000,1643000,3309000,764000
Net Income,219134000,-83421000,-26257000,-58345000
,,,,
Net Income Ratio,0.2570411425,-0.2105049333,-0.2267561359,-0.73048127
Eps,1.32,-0.64,-0.17,-0.45
Epsdiluted,1.22,-0.64,-0.17,-0.45
Weighted Average Shs Out,166408000,131262000,152503000,130452000
Weighted Average Shs Out Dil,179551000,131262000,152503000,130452000
